case,run,sample,ns,pairs,contacts,compression_m,reserved_bytes
warm_1,0,420,90959,320,320,0.691001,628040
warm_1,0,421,91084,320,320,0.691084,628040
warm_1,0,422,91042,320,320,0.691167,628040
warm_1,0,423,90417,320,320,0.691251,628040
warm_1,0,424,91084,320,320,0.691334,628040
warm_1,0,425,90334,320,320,0.691417,628040
warm_1,0,426,93917,320,320,0.6915,628040
warm_1,0,427,90417,320,320,0.691583,628040
warm_1,0,428,91416,320,320,0.691665,628040
warm_1,0,429,90917,320,320,0.691747,628040
warm_1,0,430,93917,320,320,0.691829,628040
warm_1,0,431,91000,320,320,0.69191,628040
warm_1,0,432,90500,320,320,0.691991,628040
warm_1,0,433,91833,320,320,0.692071,628040
warm_1,0,434,94125,320,320,0.69215,628040
warm_1,0,435,91167,320,320,0.692229,628040
warm_1,0,436,91750,320,320,0.692307,628040
warm_1,0,437,94500,320,320,0.692385,628040
warm_1,0,438,96458,320,320,0.692461,628040
warm_1,0,439,95625,320,320,0.692537,628040
warm_1,0,440,90459,320,320,0.692613,628040
warm_1,0,441,90750,320,320,0.692687,628040
warm_1,0,442,90375,320,320,0.692761,628040
warm_1,0,443,90875,320,320,0.692835,628040
warm_1,0,444,91041,320,320,0.692907,628040
warm_1,0,445,90125,320,320,0.69298,628040
warm_1,0,446,91208,320,320,0.693051,628040
warm_1,0,447,91041,320,320,0.693123,628040
warm_1,0,448,91292,320,320,0.693193,628040
warm_1,0,449,90542,320,320,0.693264,628040
warm_1,0,450,91000,320,320,0.693334,628040
warm_1,0,451,90541,320,320,0.693403,628040
warm_1,0,452,91166,320,320,0.693473,628040
warm_1,0,453,90083,320,320,0.693542,628040
warm_1,0,454,90167,320,320,0.69361,628040
warm_1,0,455,90834,320,320,0.693679,628040
warm_1,0,456,90833,320,320,0.693748,628040
warm_1,0,457,90791,320,320,0.693816,628040
warm_1,0,458,90625,320,320,0.693885,628040
warm_1,0,459,90917,320,320,0.693953,628040
warm_1,0,460,90791,320,320,0.69402,628040
warm_1,0,461,93625,320,320,0.694089,628040
warm_1,0,462,99833,320,320,0.694157,628040
warm_1,0,463,102250,320,320,0.694224,628040
warm_1,0,464,92292,320,320,0.694292,628040
warm_1,0,465,93375,320,320,0.69436,628040
warm_1,0,466,91875,320,320,0.694427,628040
warm_1,0,467,91583,320,320,0.694495,628040
warm_1,0,468,91833,320,320,0.694562,628040
warm_1,0,469,91417,320,320,0.694629,628040
warm_1,0,470,92709,320,320,0.694695,628040
warm_1,0,471,92250,320,320,0.694761,628040
warm_1,0,472,91542,320,320,0.694827,628040
warm_1,0,473,91708,320,320,0.694893,628040
warm_1,0,474,93417,320,320,0.694958,628040
warm_1,0,475,92167,320,320,0.695022,628040
warm_1,0,476,92084,320,320,0.695086,628040
warm_1,0,477,91250,320,320,0.695148,628040
warm_1,0,478,91833,320,320,0.695211,628040
warm_1,0,479,91833,320,320,0.695274,628040
warm_1,0,480,91292,320,320,0.695335,628040
warm_1,0,481,91375,320,320,0.695396,628040
warm_1,0,482,90958,320,320,0.695457,628040
warm_1,0,483,92042,320,320,0.695518,628040
warm_1,0,484,91708,320,320,0.695579,628040
warm_1,0,485,92334,320,320,0.695639,628040
warm_1,0,486,92000,320,320,0.695697,628040
warm_1,0,487,92625,320,320,0.695755,628040
warm_1,0,488,93208,320,320,0.695813,628040
warm_1,0,489,91916,320,320,0.695871,628040
warm_1,0,490,90667,320,320,0.69593,628040
warm_1,0,491,91292,320,320,0.695987,628040
warm_1,0,492,91375,320,320,0.696044,628040
warm_1,0,493,90291,320,320,0.696101,628040
warm_1,0,494,91458,320,320,0.696158,628040
warm_1,0,495,90083,320,320,0.696216,628040
warm_1,0,496,90375,320,320,0.696272,628040
warm_1,0,497,90792,320,320,0.696328,628040
warm_1,0,498,90833,320,320,0.696384,628040
warm_1,0,499,90208,320,320,0.696441,628040
warm_1,0,500,90834,320,320,0.696496,628040
warm_1,0,501,90833,320,320,0.696552,628040
warm_1,0,502,90458,320,320,0.696609,628040
warm_1,0,503,91458,320,320,0.696665,628040
warm_1,0,504,90750,320,320,0.69672,628040
warm_1,0,505,90833,320,320,0.696775,628040
warm_1,0,506,90833,320,320,0.696831,628040
warm_1,0,507,90708,320,320,0.696885,628040
warm_1,0,508,93458,320,320,0.696939,628040
warm_1,0,509,92000,320,320,0.696994,628040
warm_1,0,510,92041,320,320,0.697048,628040
warm_1,0,511,91667,320,320,0.697102,628040
warm_1,0,512,90959,320,320,0.697155,628040
warm_1,0,513,81916,320,320,0.697208,628040
warm_1,0,514,82250,320,320,0.697262,628040
warm_1,0,515,82167,320,320,0.697314,628040
warm_1,0,516,82334,320,320,0.697367,628040
warm_1,0,517,81709,320,320,0.697419,628040
warm_1,0,518,81750,320,320,0.697471,628040
warm_1,0,519,82084,320,320,0.697522,628040
warm_1,0,520,81584,320,320,0.697573,628040
warm_1,0,521,82000,320,320,0.697623,628040
warm_1,0,522,81458,320,320,0.697673,628040
warm_1,0,523,81875,320,320,0.697722,628040
warm_1,0,524,81542,320,320,0.697772,628040
warm_1,0,525,81875,320,320,0.697821,628040
warm_1,0,526,81417,320,320,0.697869,628040
warm_1,0,527,81666,320,320,0.697918,628040
warm_1,0,528,82292,320,320,0.697967,628040
warm_1,0,529,81750,320,320,0.698015,628040
warm_1,0,530,82416,320,320,0.698063,628040
warm_1,0,531,90750,320,320,0.698111,628040
warm_1,0,532,95875,320,320,0.698158,628040
warm_1,0,533,93667,320,320,0.698205,628040
warm_1,0,534,92709,320,320,0.698252,628040
warm_1,0,535,92083,320,320,0.698298,628040
warm_1,0,536,91583,320,320,0.698345,628040
warm_1,0,537,91791,320,320,0.698392,628040
warm_1,0,538,92166,320,320,0.698438,628040
warm_1,0,539,112666,320,320,0.698483,628040
warm_1,0,540,93959,320,320,0.698529,628040
warm_1,0,541,92000,320,320,0.698576,628040
warm_1,0,542,92916,320,320,0.698622,628040
warm_1,0,543,92375,320,320,0.698668,628040
warm_1,0,544,93333,320,320,0.698713,628040
warm_1,0,545,86208,320,320,0.698758,628040
warm_1,0,546,82875,320,320,0.698803,628040
warm_1,0,547,81792,320,320,0.698848,628040
warm_1,0,548,85292,320,320,0.698893,628040
warm_1,0,549,93916,320,320,0.698937,628040
warm_1,0,550,82167,320,320,0.698981,628040
warm_1,0,551,82375,320,320,0.699025,628040
warm_1,0,552,82292,320,320,0.699069,628040
warm_1,0,553,81834,320,320,0.699113,628040
warm_1,0,554,82209,320,320,0.699157,628040
warm_1,0,555,81875,320,320,0.6992,628040
warm_1,0,556,82458,320,320,0.699243,628040
warm_1,0,557,81625,320,320,0.699286,628040
warm_1,0,558,82333,320,320,0.699328,628040
warm_1,0,559,82125,320,320,0.69937,628040
warm_1,0,560,82792,320,320,0.699411,628040
warm_1,0,561,81625,320,320,0.699452,628040
warm_1,0,562,81625,320,320,0.699493,628040
warm_1,0,563,81625,320,320,0.699534,628040
warm_1,0,564,82208,320,320,0.699574,628040
warm_1,0,565,87916,320,320,0.699615,628040
warm_1,0,566,93500,320,320,0.699655,628040
warm_1,0,567,91084,320,320,0.699695,628040
warm_1,0,568,90792,320,320,0.699735,628040
warm_1,0,569,84083,320,320,0.699774,628040
warm_1,0,570,82000,320,320,0.699813,628040
warm_1,0,571,81917,320,320,0.699852,628040
warm_1,0,572,81666,320,320,0.699891,628040
